,MQ9,value
0,696,4
1,674,4
2,646,4
3,590,4
4,627,4
5,896,4
6,588,4
7,646,4
8,873,4
9,768,4
10,1068,4
11,682,4
12,622,4
13,746,4
14,666,4
15,648,4
16,598,4
17,574,4
18,571,4
19,565,4
20,570,4
21,580,4
22,562,4
23,553,4
24,555,4
25,553,4
26,575,4
27,562,4
28,581,4
29,558,4
30,846,3
31,1046,3
32,1119,3
33,1042,3
34,1105,3
35,1168,3
36,1150,3
37,1059,3
38,1022,3
39,1006,3
40,793,3
41,823,3
42,824,3
43,810,3
44,794,3
45,775,3
46,762,3
47,772,3
48,786,3
49,791,3
50,769,3
51,867,4
52,805,4
53,775,4
54,744,4
55,733,4
56,788,4
57,757,4
58,685,4
59,705,4
60,692,4
61,519,1
62,516,1
63,527,1
64,527,1
65,518,1
66,551,1
67,496,1
68,548,1
69,550,1
70,548,1
71,578,1
72,538,1
73,548,1
74,543,1
75,548,1
76,525,1
77,548,1
78,579,1
79,517,1
80,548,1
81,513,1
82,548,1
83,523,1
84,610,2
85,658,2
86,684,2
87,633,2
88,650,2
89,640,2
90,631,2
91,676,2
92,685,2
93,623,2
94,632,2
95,629,2
96,506,1
97,501,1
98,520,1
99,516,1
100,492,1
101,476,1
102,541,1
103,524,1
104,528,1
105,546,1
106,538,1
107,552,1
108,520,1
109,524,1
110,521,1
111,532,1
112,546,1
113,560,1
114,537,1
115,529,1
116,521,1
117,623,2
118,637,2
119,655,2
120,637,2
121,668,2
122,631,2
123,671,2
124,614,2
125,679,2
126,653,2
127,645,2
128,606,2
129,598,2
130,540,1
131,545,1
132,539,1
133,538,1
134,536,1
135,521,1
136,452,1
137,467,1
138,484,1
139,491,1
140,442,1
141,437,1
142,549,2
143,548,2
144,539,2
145,557,2
146,535,2
147,575,2
148,537,2
149,564,2
150,582,2
151,585,2
152,602,2
153,614,2
154,596,2
155,608,2
156,574,2
157,586,2
158,568,2
159,559,2
160,550,2
161,561,2
162,565,2
163,555,4
164,547,4
165,585,4
166,635,4
167,627,4
168,662,4
169,697,4
170,684,4
171,671,4
172,739,4
173,686,4
174,678,4
175,693,4
176,683,4
177,691,4
178,684,4
179,661,4
180,696,4
181,699,4
182,707,4
183,622,4
184,669,4
185,624,4
186,735,4
187,677,4
188,749,4
189,796,4
190,839,4
191,811,4
192,779,4
193,747,4
194,613,2
195,632,2
196,670,2
197,671,2
198,687,2
199,731,2
200,705,2
201,768,2
202,788,2
203,796,2
204,815,2
205,804,2
206,809,2
207,826,2
208,817,2
209,773,2
210,776,2
211,823,2
212,818,2
213,829,2
214,789,2
215,732,2
216,659,2
217,596,2
218,622,2
219,610,2
220,610,2
221,627,2
222,613,2
223,436,1
224,449,1
225,439,1
226,441,1
227,436,1
228,430,1
229,410,1
230,410,1
231,410,1
232,435,1
233,440,1
234,435,1
235,410,1
236,435,1
237,440,1
238,435,1
239,435,1
240,492,1
241,523,1
242,495,1
243,487,1
244,501,1
245,499,1
246,502,1
247,492,1
248,515,1
249,507,1
250,499,1
251,541,2
252,546,2
253,517,2
254,565,2
255,569,2
256,567,2
257,548,2
258,546,2
259,517,2
260,562,2
261,569,2
262,567,2
263,575,2
264,540,2
265,612,2
266,629,2
267,685,2
268,696,2
269,689,2
270,729,2
271,702,2
272,755,2
273,762,2
274,678,2
275,632,2
276,586,2
277,614,2
278,599,2
279,474,1
280,467,1
281,470,1
282,537,2
283,525,2
284,513,2
285,499,2
286,569,2
287,550,2
288,565,2
289,553,2
290,562,2
291,546,2
292,566,2
293,563,2
294,569,2
295,559,2
296,570,2
297,584,2
298,562,2
299,587,2
300,536,2
301,562,2
302,593,2
303,611,2
304,596,2
305,621,2
306,609,2
307,636,2
308,662,2
309,670,2
310,672,2
311,616,2
312,702,2
313,697,2
314,697,2
315,729,2
316,675,2
317,696,2
318,639,2
319,607,2
320,600,2
321,601,2
322,591,2
323,592,2
324,581,2
325,590,2
326,604,2
327,457,1
328,465,1
329,468,1
330,462,1
331,442,1
332,469,1
333,474,1
334,475,1
335,482,1
336,478,1
337,493,1
338,478,1
339,487,1
340,436,1
341,496,1
342,481,1
343,497,1
344,494,1
345,497,1
346,508,1
347,504,1
348,500,1
349,520,1
350,509,1
351,523,1
352,522,1
353,499,1
354,509,1
355,528,1
356,525,1
357,521,1
358,511,1
359,534,1
360,521,1
361,533,1
362,621,4
363,701,4
364,704,4
365,707,4
366,686,4
367,674,4
368,669,4
369,812,4
370,975,4
371,967,4
372,951,4
373,989,4
374,1019,4
375,1064,4
376,1127,4
377,1176,4
378,1180,4
379,1240,4
380,1256,4
381,1308,4
382,1285,4
383,1354,4
384,1364,4
385,1367,4
386,1388,4
387,1128,4
388,1028,4
389,1016,4
390,1048,4
391,995,4
392,990,4
393,1012,4
394,999,4
395,942,4
396,957,4
397,1014,4
398,1032,4
399,1044,4
400,1013,4
401,1067,4
402,1042,4
403,996,4
404,969,4
405,940,4
406,969,4
407,936,4
408,922,4
409,947,4
410,982,4
411,958,4
412,974,4
413,924,4
414,990,4
415,1015,4
416,960,4
417,981,4
418,970,4
419,925,4
420,946,4
421,880,4
422,929,4
423,896,4
424,734,4
425,718,4
426,674,4
427,682,4
428,657,4
429,692,3
430,683,3
431,772,3
432,791,3
433,1015,3
434,1055,3
435,1058,3
436,1064,3
437,1037,3
438,1029,3
439,993,3
440,1009,3
441,1019,3
442,973,3
443,1016,3
444,956,3
445,868,3
446,897,3
447,879,3
448,938,3
449,934,3
450,898,3
451,941,3
452,935,3
453,966,3
454,1026,3
455,1010,3
456,992,3
457,907,3
458,789,3
459,729,3
460,693,3
461,1026,3
462,1010,3
463,992,3
464,907,3
465,789,3
466,729,3
467,485,1
468,494,1
469,519,1
470,515,1
471,526,1
472,512,1
473,524,1
474,533,1
475,693,1
476,585,1
477,631,1
478,638,1
479,641,1
480,647,1
481,643,1
482,640,1
483,637,1
484,592,1
485,644,1
486,600,1
487,638,1
488,642,1
489,658,1
490,645,1
491,595,2
492,607,2
493,599,2
494,611,2
495,606,2
496,617,2
497,595,2
498,608,2
499,571,2
500,584,2
501,586,2
502,612,2
503,630,2
504,640,2
505,663,2
506,648,2
507,656,2
508,649,2
509,650,2
510,645,2
511,606,2
512,615,2
513,616,2
514,622,2
515,635,2
516,649,2
517,611,2
518,576,2
519,581,2
520,597,2
521,529,1
522,540,1
523,558,1
524,574,1
525,554,1
526,559,1
527,577,1
528,558,1
529,520,1
530,513,1
531,501,1
532,517,1
533,525,1
534,549,1
535,499,1
536,537,1
537,549,1
538,548,1
539,576,4
540,825,4
541,804,4
542,787,4
543,717,4
544,734,4
545,730,4
546,711,4
547,703,4
548,697,4
549,672,4
550,686,4
551,677,4
552,623,4
553,679,4
554,724,4
555,747,4
556,689,4
557,741,4
558,810,4
559,827,4
560,845,4
561,890,4
562,912,4
563,932,4
564,930,4
565,920,4
566,959,4
567,931,4
568,971,4
569,922,4
570,942,4
571,953,4
572,995,4
573,948,4
574,814,4
575,748,4
576,773,4
577,809,4
578,818,4
579,821,4
580,847,4
581,894,4
582,876,4
583,868,4
584,856,4
585,905,4
586,850,4
587,796,4
588,831,4
589,792,4
590,833,4
591,834,4
592,851,4
593,883,4
594,904,4
595,901,4
596,881,4
597,903,4
598,887,4
599,887,4
600,830,4
601,875,4
602,875,4
603,846,4
604,880,4
605,891,4
606,783,4
607,454,1
608,434,1
609,452,1
610,454,1
611,473,1
612,471,1
613,471,1
614,481,1
615,469,1
616,468,1
617,421,1
618,457,1
619,429,1
620,421,1
621,433,1
622,452,1
623,393,1
624,432,1
625,429,1
626,443,1
627,433,1
628,432,1
629,427,1
630,441,1
631,435,1
632,439,1
633,435,1
634,437,1
635,447,1
636,442,1
637,443,1
638,439,1
639,443,1
640,449,1
641,453,1
642,448,1
643,397,1
644,599,2
645,562,2
646,624,2
647,637,2
648,644,2
649,596,2
650,594,2
651,571,2
652,576,2
653,551,2
