MQ9,value
696,1
674,1
646,1
590,1
627,1
896,1
588,1
646,1
873,1
768,1
1068,1
682,1
622,1
746,1
666,1
648,1
598,1
574,1
571,1
565,1
570,1
580,1
562,1
553,1
555,1
553,1
575,1
562,1
581,1
558,1
846,1
1046,1
1119,1
1042,1
1105,1
1168,1
1150,1
1059,1
1022,1
1006,1
793,1
823,1
824,1
810,1
794,1
775,1
762,1
772,1
786,1
791,1
769,1
867,1
805,1
775,1
744,1
733,1
788,1
757,1
685,1
705,1
692,1
519,0
516,0
527,0
527,0
518,0
551,0
496,0
548,0
550,0
548,0
578,0
538,0
548,0
543,0
548,0
525,0
548,0
579,0
517,0
548,0
513,0
548,0
523,0
610,0
658,0
684,0
633,0
650,0
640,0
631,0
676,0
685,0
623,0
632,0
629,0
506,0
501,0
520,0
516,0
492,0
476,0
541,0
524,0
528,0
546,0
538,0
552,0
520,0
524,0
521,0
532,0
546,0
560,0
537,0
529,0
521,0
623,0
637,0
655,0
637,0
668,0
631,0
671,0
614,0
679,0
653,0
645,0
606,0
598,0
540,0
545,0
539,0
538,0
536,0
521,0
452,0
467,0
484,0
491,0
442,0
437,0
549,0
548,0
539,0
557,0
535,0
575,0
537,0
564,0
582,0
585,0
602,0
614,0
596,0
608,0
574,0
586,0
568,0
559,0
550,0
561,0
565,0
555,1
547,1
585,1
635,1
627,1
662,1
697,1
684,1
671,1
739,1
686,1
678,1
693,1
683,1
691,1
684,1
661,1
696,1
699,1
707,1
622,1
669,1
624,1
735,1
677,1
749,1
796,1
839,1
811,1
779,1
747,1
613,0
632,0
670,0
671,0
687,0
731,0
705,0
768,0
788,0
796,0
815,0
804,0
809,0
826,0
817,0
773,0
776,0
823,0
818,0
829,0
789,0
732,0
659,0
596,0
622,0
610,0
610,0
627,0
613,0
436,0
449,0
439,0
441,0
436,0
430,0
410,0
410,0
410,0
435,0
440,0
435,0
410,0
435,0
440,0
435,0
435,0
492,0
523,0
495,0
487,0
501,0
499,0
502,0
492,0
515,0
507,0
499,0
541,0
546,0
517,0
565,0
569,0
567,0
548,0
546,0
517,0
562,0
569,0
567,0
575,0
540,0
612,0
629,0
685,0
696,0
689,0
729,0
702,0
755,0
762,0
678,0
632,0
586,0
614,0
599,0
474,0
467,0
470,0
537,0
525,0
513,0
499,0
569,0
550,0
565,0
553,0
562,0
546,0
566,0
563,0
569,0
559,0
570,0
584,0
562,0
587,0
536,0
562,0
593,0
611,0
596,0
621,0
609,0
636,0
662,0
670,0
672,0
616,0
702,0
697,0
697,0
729,0
675,0
696,0
639,0
607,0
600,0
601,0
591,0
592,0
581,0
590,0
604,0
457,0
465,0
468,0
462,0
442,0
469,0
474,0
475,0
482,0
478,0
493,0
478,0
487,0
436,0
496,0
481,0
497,0
494,0
497,0
508,0
504,0
500,0
520,0
509,0
523,0
522,0
499,0
509,0
528,0
525,0
521,0
511,0
534,0
521,0
533,0
621,1
701,1
704,1
707,1
686,1
674,1
669,1
812,1
975,1
967,1
951,1
989,1
1019,1
1064,1
1127,1
1176,1
1180,1
1240,1
1256,1
1308,1
1285,1
1354,1
1364,1
1367,1
1388,1
1128,1
1028,1
1016,1
1048,1
995,1
990,1
1012,1
999,1
942,1
957,1
1014,1
1032,1
1044,1
1013,1
1067,1
1042,1
996,1
969,1
940,1
969,1
936,1
922,1
947,1
982,1
958,1
974,1
924,1
990,1
1015,1
960,1
981,1
970,1
925,1
946,1
880,1
929,1
896,1
734,1
718,1
674,1
682,1
657,1
692,1
683,1
772,1
791,1
1015,1
1055,1
1058,1
1064,1
1037,1
1029,1
993,1
1009,1
1019,1
973,1
1016,1
956,1
868,1
897,1
879,1
938,1
934,1
898,1
941,1
935,1
966,1
1026,1
1010,1
992,1
907,1
789,1
729,1
693,1
1026,1
1010,1
992,1
907,1
789,1
729,1
485,0
494,0
519,0
515,0
526,0
512,0
524,0
533,0
693,0
585,0
631,0
638,0
641,0
647,0
643,0
640,0
637,0
592,0
644,0
600,0
638,0
642,0
658,0
645,0
595,0
607,0
599,0
611,0
606,0
617,0
595,0
608,0
571,0
584,0
586,0
612,0
630,0
640,0
663,0
648,0
656,0
649,0
650,0
645,0
606,0
615,0
616,0
622,0
635,0
649,0
611,0
576,0
581,0
597,0
529,0
540,0
558,0
574,0
554,0
559,0
577,0
558,0
520,0
513,0
501,0
517,0
525,0
549,0
499,0
537,0
549,0
548,0
576,1
825,1
804,1
787,1
717,1
734,1
730,1
711,1
703,1
697,1
672,1
686,1
677,1
623,1
679,1
724,1
747,1
689,1
741,1
810,1
827,1
845,1
890,1
912,1
932,1
930,1
920,1
959,1
931,1
971,1
922,1
942,1
953,1
995,1
948,1
814,1
748,1
773,1
809,1
818,1
821,1
847,1
894,1
876,1
868,1
856,1
905,1
850,1
796,1
831,1
792,1
833,1
834,1
851,1
883,1
904,1
901,1
881,1
903,1
887,1
887,1
830,1
875,1
875,1
846,1
880,1
891,1
783,1
454,0
434,0
452,0
454,0
473,0
471,0
471,0
481,0
469,0
468,0
421,0
457,0
429,0
421,0
433,0
452,0
393,0
432,0
429,0
443,0
433,0
432,0
427,0
441,0
435,0
439,0
435,0
